Team,Season,Home_Points,Total_Points,Home_Advantage
ARS,2020/21,28,61,45.9
AVL,2020/21,25,55,45.45
BHA,2020/21,21,41,51.22
BUR,2020/21,18,39,46.15
CHE,2020/21,33,67,49.25
CRY,2020/21,23,44,52.27
EVE,2020/21,22,59,37.29
FUL,2020/21,10,28,35.71
LEE,2020/21,29,59,49.15
LEI,2020/21,28,66,42.42
LIV,2020/21,33,69,47.83
MCI,2020/21,41,86,47.67
MUN,2020/21,31,74,41.89
NEW,2020/21,23,45,51.11
SHU,2020/21,16,23,69.57
SOU,2020/21,27,43,62.79
TOT,2020/21,33,62,53.23
WBA,2020/21,15,26,57.69
WHU,2020/21,34,65,52.31
WOL,2020/21,25,45,55.56
