Team,Season,Home_Points,Total_Points,Home_Advantage
ARS,2020/21,28,61,45.9
AVL,2020/21,25,55,45.45
BHA,2020/21,21,41,51.22
BUR,2020/21,18,39,46.15
CHE,2020/21,33,67,49.25
CRY,2020/21,23,44,52.27
EVE,2020/21,22,59,37.29
FUL,2020/21,10,28,35.71
LEE,2020/21,29,59,49.15
LEI,2020/21,28,66,42.42
LIV,2020/21,33,69,47.83
MCI,2020/21,41,86,47.67
MUN,2020/21,31,74,41.89
NEW,2020/21,23,45,51.11
SHU,2020/21,16,23,69.57
SOU,2020/21,27,43,62.79
TOT,2020/21,33,62,53.23
WBA,2020/21,15,26,57.69
WHU,2020/21,34,65,52.31
WOL,2020/21,25,45,55.56
ARS,2022/23,45,84,53.57
AVL,2022/23,38,61,62.3
BOU,2022/23,22,39,56.41
BRE,2022/23,37,59,62.71
BHA,2022/23,34,62,54.84
CHE,2022/23,25,44,56.82
CRY,2022/23,28,45,62.22
EVE,2022/23,21,36,58.33
FUL,2022/23,29,52,55.77
LEE,2022/23,22,31,70.97
LEI,2022/23,19,34,55.88
LIV,2022/23,44,67,65.67
MCI,2022/23,52,89,58.43
MUN,2022/23,48,75,64
NEW,2022/23,39,71,54.93
NFO,2022/23,30,38,78.95
SOU,2022/23,11,25,44
TOT,2022/23,37,60,61.67
WHU,2022/23,28,40,70
WOL,2022/23,30,41,73.17
